List Order,Name,Room type (custom name),Status
142,PARKINGS,,
143,"Covered Parking NO 14, Dorfstrasse 24, Bonstatten 8906","Parking NO(Covered/underground) -14 Dorfstrasse 24, 8906, Bonstatten,",Active
144,"Open Parking No 4, Lattenwiesenstrasse 5, 8152 Glattbrugg","Open NO- 4, Lattenwiesenstarsse 5, 8152 Glattbrugg",Active
145,"PG - Parking No 3 - Jakob Bosshart-Strasse 4, 8424 Embrach – 4.5 Room Apartment","PG - Parking No - 3 - Jakob Bosshart-Strasse 4, 8424 Embrach – 4.5 Room Apartment",Active
146,"Open Parking No. -8,Neugutstrasse 16 8304 Wallisellen","Open No. - 8,Neugutstrasse 16 8304 Wallisellen",Active
148,"Open Parking No. - 3,Seebacherstrasse 66, 8052, Zurich - 2.5 Zi","Open No. - 3, Seebacherstrasse 66, 8052, Zurich - 2.5 Zi",Active
149,Covered / Underground Parking Nr – 100;Stöckenstrasse 40a8903 Birmensdorf,"Covered / Underground Parking Nr – 100;Stöckenstrasse 40a, 8903, Birmensdorf",Active
150,"Open Parking Nr – 9; Talackerstrasse 47, 8152, Glattbrugg - 3.5 Zi","Open No.– 9; Talackerstrasse 47, 8152, Glattbrugg - 3.5 Zi",Active
151,"Open Parking Nr – 7; Talackerstrasse 47, 8152, Glattbrugg - 4.5 Zi","Open No. – 7 ; Talackerstrasse 47, 8152, Glattbrugg - 4.5 Zi",Active
152,"Covered / Underground Parking Nr – 176; Wallisellerstrasse 156, 8152, Glattbrugg - 3.5 Zi","Covered / Underground NO. – 176 ; Wallisellerstrasse 156, 8152, Glattbrugg - 3.5 Zi",Active
153,"Open Parking Nr – 8; Allmendstrasse 18, 8304 Wallisellen – 3.5 Zi","Open NO. – 8; Allmendstrasse 18, 8304 Wallisellen – 3.5 Zi",Inactive
154,"Open Parking , Nr - 24 ,Wallisellerstrasse 156, 8152, Glattbrugg - 2.5 Zi","Open No. - 24; Wallisellerstrasse 156, 8152, Glattbrugg - 2.5 Zi",Active
159,"Parking Lot Nr 73 - Melchrütistrasse 10, 8304 Wallisellen","Parking Lot Nr 73 - Melchrütistrasse 10, 8304 Wallisellen",Inactive
171,"Parking Nr 24 - Melchrütistrasse 10, 8304 Wallisellen","Parking Nr 24 - Melchrütistrasse 10, 8304 Wallisellen",Active
172,"Parking Nr 89 - Melchrütistrasse 8, 8304 Wallisellen - 3F-R","Parking Nr 89 - Melchrütistrasse 8, 8304 Wallisellen",Active
